Determining the reverse function X = f(Tr) [Oosterbaan];;;;;;;;
Tr, [y.]:;5;10;20;25;30;50;75;100
c.d.f., [-]:;0.8;0.9;0.95;0.96;0.966666667;0.98;0.986666667;0.99
X:;146.9;153.6;160.4;162.7;164.5;169.7;173.9;177
X_lower;144.4;151;157.5;159.7;161.4;166.4;170.4;173.4
X_upper;150.5;157.5;164.6;166.9;168.9;174.3;178.7;181.9
;;;;;;;;
Calculated with CumFreq:;;;;;;;;
Tr, [y.]:;5;10;20;25;30;50;75;100
c.d.f., [-]:;0.8;0.9;0.95;0.96;0.966666667;0.98;0.986666667;0.99
CumFreq_X;153.3;161.9;170.3;172.9;175;181.1;185.8;189.2
CumFreq_X_lower;145.6;151.6;157.1;158.8;160.2;164;166.8;168.8
CumFreq_X_upper;155.9;163.8;171.5;174;176.1;181.9;186.4;189.7
